,team1_home,team1_bat,csk,dch,dca,dd,gl,kxip,kt,kkr,mi,pw,rr,rps,rcb,srh,team1_win_percentage,team2_win_percentage,team1_win
50,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.4856429311786321,0.8741572761215378,1
51,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.11404691689387295,0.9934753649421822,0
52,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.822786528217372,0.5683505335477427,1
53,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6378643573675797,0.7701487269352878,0
54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.8295458535994696,0.5584386060937472,0
55,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.7254204999153147,0.6883059627103452,0
56,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8352433338862769,0.5498805081092958,0
57,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.7284116862935497,0.6851397049295764,0
58,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6883059627103452,0.7254204999153147,1
59,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.829063063955475,0.5591551090571916,1
60,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8425938412032223,0.5385495508923938,1
61,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.856029918677595,0.516926279394683,0
62,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.7439651465471575,0.6682184229150424,0
63,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6428122343901886,0.7660237798647592,0
64,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7671537031853778,0.6414633237286145,0
65,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.6635921652185571,0.7480945383175492,0
66,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6948828529168973,0.7191229524372542,1
67,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5885604684400809,0.8084531990100555,0
68,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5757421266852994,0.8176313371929237,1
69,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5822212510474735,0.8130303898555791,0
70,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7291406374480305,0.6843638877248562,0
71,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.8580227518088446,0.5136116795579884,0
72,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.7488993139903786,0.6626837990359657,0
